,time,payload,routing_key
52,2024-10-03 20:26:47.498000+00:00,146.40959,Temperature2
53,2024-10-03 20:26:47.994000+00:00,150.64406,Temperature1
54,2024-10-03 20:26:48.494000+00:00,150.50517,Temperature1
55,2024-10-03 20:26:49.497000+00:00,150.31999,Temperature1
56,2024-10-03 20:26:49.995000+00:00,150.08852,Temperature1
57,2024-10-03 20:26:50+00:00,0.0,Heartbeat
58,2024-10-03 20:26:50.003000+00:00,146.75557,Temperature2
59,2024-10-03 20:26:50.999000+00:00,149.94963,Temperature1
60,2024-10-03 20:26:51.495000+00:00,149.81075,Temperature1
61,2024-10-03 20:26:51.995000+00:00,149.57927,Temperature1
62,2024-10-03 20:26:52.509000+00:00,147.00925,Temperature2
63,2024-10-03 20:26:53.496000+00:00,149.3478,Temperature1
64,2024-10-03 20:26:54.001000+00:00,149.11632,Temperature1
65,2024-10-03 20:26:55+00:00,148.93114,Temperature1
66,2024-10-03 20:26:55.004000+00:00,147.12329,Temperature2
67,2024-10-03 20:26:55.498000+00:00,148.79225,Temperature1
68,2024-10-03 20:26:56.001000+00:00,148.65337,Temperature1
69,2024-10-03 20:26:56.999000+00:00,148.42189,Temperature1
70,2024-10-03 20:26:57.497000+00:00,148.23671,Temperature1
71,2024-10-03 20:26:58.497000+00:00,148.00523,Temperature1
72,2024-10-03 20:26:59.500000+00:00,147.77377,Temperature1
73,2024-10-03 20:27:00+00:00,0.0,Heartbeat
74,2024-10-03 20:27:00.500000+00:00,147.5423,Temperature1
75,2024-10-03 20:27:01.500000+00:00,147.40341,Temperature1
76,2024-10-03 20:27:02.009000+00:00,147.17194,Temperature1
77,2024-10-03 20:27:03.004000+00:00,146.98676,Temperature1
78,2024-10-03 20:27:03.502000+00:00,146.80157,Temperature1
79,2024-10-03 20:27:04.502000+00:00,146.5238,Temperature1
80,2024-10-03 20:27:05.004000+00:00,146.38492,Temperature1
81,2024-10-03 20:27:06.012000+00:00,146.93677,Temperature2
82,2024-10-03 20:27:06.502000+00:00,146.24603,Temperature1
83,2024-10-03 20:27:07.005000+00:00,146.10715,Temperature1
84,2024-10-03 20:27:07.503000+00:00,145.92197,Temperature1
85,2024-10-03 20:27:08.503000+00:00,145.69049,Temperature1
86,2024-10-03 20:27:08.507000+00:00,146.7906,Temperature2
87,2024-10-03 20:27:09.503000+00:00,145.5516,Temperature1
88,2024-10-03 20:27:10+00:00,0.0,Heartbeat
89,2024-10-03 20:27:10.506000+00:00,145.36642,Temperature1
90,2024-10-03 20:27:11.011000+00:00,146.54425,Temperature2
91,2024-10-03 20:27:11.506000+00:00,145.18124,Temperature1
92,2024-10-03 20:27:12.043000+00:00,515.0,Stapnr
93,2024-10-03 20:27:12.506000+00:00,144.99606,Temperature1
94,2024-10-03 20:27:13.506000+00:00,144.85718,Temperature1
95,2024-10-03 20:27:13.510000+00:00,146.23958,Temperature2
96,2024-10-03 20:27:14.504000+00:00,144.672,Temperature1
97,2024-10-03 20:27:15.009000+00:00,144.53311,Temperature1
98,2024-10-03 20:27:16.014000+00:00,146.02327,Temperature2
99,2024-10-03 20:27:16.505000+00:00,144.39423,Temperature1
100,2024-10-03 20:27:17.508000+00:00,144.25534,Temperature1
101,2024-10-03 20:27:19.007000+00:00,144.07016,Temperature1
102,2024-10-03 20:27:19.011000+00:00,145.6871,Temperature2
103,2024-10-03 20:27:20+00:00,0.0,Heartbeat
104,2024-10-03 20:27:20.510000+00:00,143.93127,Temperature1
105,2024-10-03 20:27:21.507000+00:00,143.79239,Temperature1
106,2024-10-03 20:27:21.511000+00:00,145.34189,Temperature2
107,2024-10-03 20:27:22.981000+00:00,143.60721,Temperature1
108,2024-10-03 20:27:23.984000+00:00,145.10825,Temperature2
109,2024-10-03 20:27:24.481000+00:00,143.46832,Temperature1
110,2024-10-03 20:27:25.980000+00:00,143.32944,Temperature1
111,2024-10-03 20:27:26.985000+00:00,144.77307,Temperature2
112,2024-10-03 20:27:28.981000+00:00,143.09796,Temperature1
113,2024-10-03 20:27:29.492000+00:00,144.44156,Temperature2
114,2024-10-03 20:27:30+00:00,0.0,Heartbeat
115,2024-10-03 20:27:31.987000+00:00,144.22424,Temperature2
116,2024-10-03 20:27:34.492000+00:00,143.93364,Temperature2
117,2024-10-03 20:27:35.984000+00:00,142.86649,Temperature1
118,2024-10-03 20:27:37.495000+00:00,143.74115,Temperature2
119,2024-10-03 20:27:39.994000+00:00,143.48595,Temperature2
120,2024-10-03 20:27:40+00:00,0.0,Heartbeat
121,2024-10-03 20:27:42.494000+00:00,143.26823,Temperature2
122,2024-10-03 20:27:45.494000+00:00,143.12387,Temperature2
123,2024-10-03 20:27:47.997000+00:00,142.9353,Temperature2
124,2024-10-03 20:27:50+00:00,0.0,Heartbeat
125,2024-10-03 20:27:50.498000+00:00,142.768,Temperature2
126,2024-10-03 20:27:53.996000+00:00,143.00537,Temperature1
127,2024-10-03 20:27:55.497000+00:00,142.54689,Temperature2
128,2024-10-03 20:28:00+00:00,0.0,Heartbeat
129,2024-10-03 20:28:00.998000+00:00,142.39742,Temperature2
130,2024-10-03 20:28:02.994000+00:00,143.14426,Temperature1
131,2024-10-03 20:28:05.496000+00:00,143.28314,Temperature1
132,2024-10-03 20:28:06.001000+00:00,142.29477,Temperature2
133,2024-10-03 20:28:10+00:00,0.0,Heartbeat
134,2024-10-03 20:28:16.498000+00:00,143.46832,Temperature1
135,2024-10-03 20:28:20+00:00,0.0,Heartbeat
136,2024-10-03 20:28:30+00:00,0.0,Heartbeat
137,2024-10-03 20:28:40+00:00,0.0,Heartbeat
138,2024-10-03 20:28:50+00:00,0.0,Heartbeat
139,2024-10-03 20:28:52.516000+00:00,143.32944,Temperature1
140,2024-10-03 20:29:00+00:00,0.0,Heartbeat
141,2024-10-03 20:29:05.527000+00:00,143.14426,Temperature1
142,2024-10-03 20:29:10+00:00,0.0,Heartbeat
143,2024-10-03 20:29:11.032000+00:00,142.16405,Temperature2
144,2024-10-03 20:29:20+00:00,0.0,Heartbeat
145,2024-10-03 20:29:21.517000+00:00,0.6365568,Conductivity
146,2024-10-03 20:29:22.017000+00:00,0.578688,Conductivity
147,2024-10-03 20:29:22.533000+00:00,143.00537,Temperature1
148,2024-10-03 20:29:23.018000+00:00,0.6365568,Conductivity
149,2024-10-03 20:29:24.007000+00:00,0.578688,Conductivity
150,2024-10-03 20:29:25.027000+00:00,142.05449,Temperature2
151,2024-10-03 20:29:28.008000+00:00,0.6365568,Conductivity
152,2024-10-03 20:29:28.508000+00:00,0.578688,Conductivity
153,2024-10-03 20:29:29.511000+00:00,0.6365568,Conductivity
154,2024-10-03 20:29:30+00:00,0.0,Heartbeat
155,2024-10-03 20:29:30.512000+00:00,0.578688,Conductivity
156,2024-10-03 20:29:31.555000+00:00,520.0,Stapnr
157,2024-10-03 20:29:32.013000+00:00,0.6365568,Conductivity
158,2024-10-03 20:29:32.513000+00:00,0.578688,Conductivity
159,2024-10-03 20:29:33.513000+00:00,0.6365568,Conductivity
160,2024-10-03 20:29:33.530000+00:00,142.86649,Temperature1
161,2024-10-03 20:29:34.014000+00:00,0.578688,Conductivity
162,2024-10-03 20:29:34.535000+00:00,141.94781,Temperature2
163,2024-10-03 20:29:39.517000+00:00,0.6365568,Conductivity
164,2024-10-03 20:29:40+00:00,0.0,Heartbeat
165,2024-10-03 20:29:40.018000+00:00,0.578688,Conductivity
166,2024-10-03 20:29:41.018000+00:00,0.6365568,Conductivity
167,2024-10-03 20:29:41.518000+00:00,0.578688,Conductivity
168,2024-10-03 20:29:42.018000+00:00,0.6365568,Conductivity
169,2024-10-03 20:29:42.517000+00:00,0.578688,Conductivity
170,2024-10-03 20:29:43.517000+00:00,0.6365568,Conductivity
171,2024-10-03 20:29:44.017000+00:00,0.578688,Conductivity
172,2024-10-03 20:29:45.017000+00:00,0.6365568,Conductivity
173,2024-10-03 20:29:45.516000+00:00,0.578688,Conductivity
174,2024-10-03 20:29:46.516000+00:00,0.6365568,Conductivity
175,2024-10-03 20:29:47.016000+00:00,0.578688,Conductivity
176,2024-10-03 20:29:48.037000+00:00,141.84547,Temperature2
177,2024-10-03 20:29:50+00:00,0.0,Heartbeat
178,2024-10-03 20:29:50.017000+00:00,0.6365568,Conductivity
179,2024-10-03 20:29:50.517000+00:00,0.578688,Conductivity
180,2024-10-03 20:29:52.018000+00:00,0.6365568,Conductivity
181,2024-10-03 20:29:52.518000+00:00,0.578688,Conductivity
182,2024-10-03 20:29:55.023000+00:00,0.6365568,Conductivity
183,2024-10-03 20:29:55.524000+00:00,0.578688,Conductivity
184,2024-10-03 20:29:57.024000+00:00,0.6365568,Conductivity
185,2024-10-03 20:29:57.525000+00:00,0.578688,Conductivity
186,2024-10-03 20:29:58.524000+00:00,0.6365568,Conductivity
187,2024-10-03 20:29:59.024000+00:00,0.578688,Conductivity
188,2024-10-03 20:30:00+00:00,0.0,Heartbeat
189,2024-10-03 20:30:00.024000+00:00,0.6365568,Conductivity
190,2024-10-03 20:30:00.524000+00:00,0.578688,Conductivity
191,2024-10-03 20:30:01.528000+00:00,0.6365568,Conductivity
192,2024-10-03 20:30:02.029000+00:00,0.578688,Conductivity
193,2024-10-03 20:30:03.529000+00:00,0.6365568,Conductivity
194,2024-10-03 20:30:04.030000+00:00,0.578688,Conductivity
195,2024-10-03 20:30:06.531000+00:00,0.6365568,Conductivity
196,2024-10-03 20:30:07.031000+00:00,0.578688,Conductivity
197,2024-10-03 20:30:07.557000+00:00,143.00537,Temperature1
198,2024-10-03 20:30:08.031000+00:00,0.6365568,Conductivity
199,2024-10-03 20:30:08.535000+00:00,0.578688,Conductivity
200,2024-10-03 20:30:10+00:00,0.0,Heartbeat
201,2024-10-03 20:30:20+00:00,0.0,Heartbeat
202,2024-10-03 20:30:22.047000+00:00,0.6365568,Conductivity
203,2024-10-03 20:30:22.547000+00:00,0.578688,Conductivity
204,2024-10-03 20:30:29.559000+00:00,0.6365568,Conductivity
205,2024-10-03 20:30:30+00:00,0.0,Heartbeat
206,2024-10-03 20:30:30.059000+00:00,0.578688,Conductivity
207,2024-10-03 20:30:40+00:00,0.0,Heartbeat
208,2024-10-03 20:30:50+00:00,0.0,Heartbeat
209,2024-10-03 20:30:55.093000+00:00,143.14426,Temperature1
210,2024-10-03 20:31:00+00:00,0.0,Heartbeat
211,2024-10-03 20:31:10+00:00,0.0,Heartbeat
212,2024-10-03 20:31:14.071000+00:00,143.28314,Temperature1
213,2024-10-03 20:31:20+00:00,0.0,Heartbeat
214,2024-10-03 20:31:30+00:00,0.0,Heartbeat
215,2024-10-03 20:31:40+00:00,0.0,Heartbeat
216,2024-10-03 20:31:50+00:00,0.0,Heartbeat
217,2024-10-03 20:32:00+00:00,0.0,Heartbeat
218,2024-10-03 20:32:10+00:00,0.0,Heartbeat
219,2024-10-03 20:32:20+00:00,0.0,Heartbeat
220,2024-10-03 20:32:27.107000+00:00,143.46832,Temperature1
221,2024-10-03 20:32:27.621000+00:00,141.95572,Temperature2
222,2024-10-03 20:32:30+00:00,0.0,Heartbeat
223,2024-10-03 20:32:40+00:00,0.0,Heartbeat
224,2024-10-03 20:32:47.626000+00:00,143.60721,Temperature1
225,2024-10-03 20:32:48.627000+00:00,142.07516,Temperature2
226,2024-10-03 20:32:50+00:00,0.0,Heartbeat
227,2024-10-03 20:33:00+00:00,0.0,Heartbeat
228,2024-10-03 20:33:09.147000+00:00,142.18134,Temperature2
229,2024-10-03 20:33:10+00:00,0.0,Heartbeat
230,2024-10-03 20:33:20+00:00,0.0,Heartbeat
231,2024-10-03 20:33:25.158000+00:00,142.29417,Temperature2
232,2024-10-03 20:33:30+00:00,0.0,Heartbeat
233,2024-10-03 20:33:40+00:00,0.0,Heartbeat
234,2024-10-03 20:33:50+00:00,0.0,Heartbeat
235,2024-10-03 20:34:00+00:00,0.0,Heartbeat
236,2024-10-03 20:34:10+00:00,0.0,Heartbeat
237,2024-10-03 20:34:10.150000+00:00,143.46832,Temperature1
238,2024-10-03 20:34:20+00:00,0.0,Heartbeat
239,2024-10-03 20:34:30+00:00,0.0,Heartbeat
240,2024-10-03 20:34:40+00:00,0.0,Heartbeat
241,2024-10-03 20:34:50+00:00,0.0,Heartbeat
242,2024-10-03 20:35:00+00:00,0.0,Heartbeat
243,2024-10-03 20:35:10+00:00,0.0,Heartbeat
244,2024-10-03 20:35:14.662000+00:00,143.32944,Temperature1
245,2024-10-03 20:35:19.679000+00:00,142.19019,Temperature2
246,2024-10-03 20:35:20+00:00,0.0,Heartbeat
247,2024-10-03 20:35:30+00:00,0.0,Heartbeat
248,2024-10-03 20:35:40+00:00,0.0,Heartbeat
249,2024-10-03 20:35:50+00:00,0.0,Heartbeat
250,2024-10-03 20:36:00+00:00,0.0,Heartbeat
251,2024-10-03 20:36:04.197000+00:00,143.14426,Temperature1
252,2024-10-03 20:36:10+00:00,0.0,Heartbeat
253,2024-10-03 20:36:14.707000+00:00,142.08548,Temperature2
254,2024-10-03 20:36:20+00:00,0.0,Heartbeat
255,2024-10-03 20:36:30+00:00,0.0,Heartbeat
256,2024-10-03 20:36:40+00:00,0.0,Heartbeat
257,2024-10-03 20:36:50+00:00,0.0,Heartbeat
258,2024-10-03 20:37:00+00:00,0.0,Heartbeat
259,2024-10-03 20:37:10+00:00,0.0,Heartbeat
260,2024-10-03 20:37:20+00:00,0.0,Heartbeat
261,2024-10-03 20:37:30+00:00,0.0,Heartbeat
262,2024-10-03 20:37:40+00:00,0.0,Heartbeat
263,2024-10-03 20:37:50+00:00,0.0,Heartbeat
264,2024-10-03 20:38:00+00:00,0.0,Heartbeat
265,2024-10-03 20:38:10+00:00,0.0,Heartbeat
266,2024-10-03 20:38:12.758000+00:00,141.98047,Temperature2
267,2024-10-03 20:38:20+00:00,0.0,Heartbeat
268,2024-10-03 20:38:30+00:00,0.0,Heartbeat
269,2024-10-03 20:38:40+00:00,0.0,Heartbeat
270,2024-10-03 20:38:50+00:00,0.0,Heartbeat
271,2024-10-03 20:39:00+00:00,0.0,Heartbeat
272,2024-10-03 20:39:10+00:00,0.0,Heartbeat
273,2024-10-03 20:39:10.758000+00:00,0.6365568,Conductivity
274,2024-10-03 20:39:11.259000+00:00,0.578688,Conductivity
275,2024-10-03 20:39:14.259000+00:00,0.6365568,Conductivity
276,2024-10-03 20:39:14.760000+00:00,0.578688,Conductivity
277,2024-10-03 20:39:15.761000+00:00,0.6365568,Conductivity
278,2024-10-03 20:39:16.261000+00:00,0.578688,Conductivity
279,2024-10-03 20:39:17.264000+00:00,0.6365568,Conductivity
280,2024-10-03 20:39:17.764000+00:00,0.578688,Conductivity
281,2024-10-03 20:39:18.776000+00:00,0.6365568,Conductivity
282,2024-10-03 20:39:19.275000+00:00,0.578688,Conductivity
283,2024-10-03 20:39:20+00:00,0.0,Heartbeat
284,2024-10-03 20:39:21.277000+00:00,0.6365568,Conductivity
285,2024-10-03 20:39:21.778000+00:00,0.578688,Conductivity
286,2024-10-03 20:39:22.781000+00:00,0.6365568,Conductivity
287,2024-10-03 20:39:23.281000+00:00,0.578688,Conductivity
288,2024-10-03 20:39:24.280000+00:00,0.6365568,Conductivity
289,2024-10-03 20:39:24.782000+00:00,0.578688,Conductivity
290,2024-10-03 20:39:25.780000+00:00,0.6365568,Conductivity
291,2024-10-03 20:39:26.280000+00:00,0.578688,Conductivity
292,2024-10-03 20:39:30+00:00,0.0,Heartbeat
293,2024-10-03 20:39:32.782000+00:00,0.6365568,Conductivity
294,2024-10-03 20:39:33.282000+00:00,0.578688,Conductivity
295,2024-10-03 20:39:35.783000+00:00,0.6365568,Conductivity
296,2024-10-03 20:39:36.283000+00:00,0.578688,Conductivity
297,2024-10-03 20:39:40+00:00,0.0,Heartbeat
298,2024-10-03 20:39:40.287000+00:00,0.6365568,Conductivity
299,2024-10-03 20:39:40.787000+00:00,0.578688,Conductivity
300,2024-10-03 20:39:43.288000+00:00,0.6365568,Conductivity
301,2024-10-03 20:39:43.789000+00:00,0.578688,Conductivity
302,2024-10-03 20:39:45.783000+00:00,0.6365568,Conductivity
303,2024-10-03 20:39:46.283000+00:00,0.578688,Conductivity
304,2024-10-03 20:39:47.284000+00:00,0.6365568,Conductivity
305,2024-10-03 20:39:48.284000+00:00,0.578688,Conductivity
306,2024-10-03 20:39:50+00:00,0.0,Heartbeat
307,2024-10-03 20:39:50.788000+00:00,0.6365568,Conductivity
308,2024-10-03 20:39:51.288000+00:00,0.578688,Conductivity
309,2024-10-03 20:39:52.288000+00:00,0.6365568,Conductivity
310,2024-10-03 20:39:52.789000+00:00,0.578688,Conductivity
311,2024-10-03 20:39:53.789000+00:00,0.6365568,Conductivity
312,2024-10-03 20:39:54.287000+00:00,0.578688,Conductivity
313,2024-10-03 20:39:55.288000+00:00,0.6365568,Conductivity
314,2024-10-03 20:39:55.788000+00:00,0.578688,Conductivity
315,2024-10-03 20:39:56.789000+00:00,0.6365568,Conductivity
316,2024-10-03 20:39:57.289000+00:00,0.578688,Conductivity
317,2024-10-03 20:40:00+00:00,0.0,Heartbeat
318,2024-10-03 20:40:01.289000+00:00,0.6365568,Conductivity
319,2024-10-03 20:40:01.789000+00:00,0.578688,Conductivity
320,2024-10-03 20:40:02.789000+00:00,0.6365568,Conductivity
321,2024-10-03 20:40:03.289000+00:00,0.578688,Conductivity
322,2024-10-03 20:40:07.291000+00:00,0.6365568,Conductivity
323,2024-10-03 20:40:07.796000+00:00,0.578688,Conductivity
324,2024-10-03 20:40:08.296000+00:00,0.6365568,Conductivity
325,2024-10-03 20:40:08.796000+00:00,0.578688,Conductivity
326,2024-10-03 20:40:09.796000+00:00,0.6365568,Conductivity
327,2024-10-03 20:40:10+00:00,0.0,Heartbeat
328,2024-10-03 20:40:10.297000+00:00,0.578688,Conductivity
329,2024-10-03 20:40:11.298000+00:00,0.6365568,Conductivity
330,2024-10-03 20:40:11.798000+00:00,0.578688,Conductivity
331,2024-10-03 20:40:12.796000+00:00,0.6365568,Conductivity
332,2024-10-03 20:40:13.296000+00:00,0.578688,Conductivity
333,2024-10-03 20:40:15.797000+00:00,0.6365568,Conductivity
334,2024-10-03 20:40:16.298000+00:00,0.578688,Conductivity
335,2024-10-03 20:40:17.799000+00:00,0.6365568,Conductivity
336,2024-10-03 20:40:18.299000+00:00,0.578688,Conductivity
337,2024-10-03 20:40:19.800000+00:00,0.6365568,Conductivity
338,2024-10-03 20:40:20+00:00,0.0,Heartbeat
339,2024-10-03 20:40:20.301000+00:00,0.578688,Conductivity
340,2024-10-03 20:40:21.303000+00:00,0.6365568,Conductivity
341,2024-10-03 20:40:21.805000+00:00,0.578688,Conductivity
342,2024-10-03 20:40:26.311000+00:00,0.6365568,Conductivity
343,2024-10-03 20:40:26.812000+00:00,0.578688,Conductivity
344,2024-10-03 20:40:27.813000+00:00,0.6365568,Conductivity
345,2024-10-03 20:40:28.312000+00:00,0.578688,Conductivity
346,2024-10-03 20:40:29.312000+00:00,0.6365568,Conductivity
347,2024-10-03 20:40:29.812000+00:00,0.578688,Conductivity
348,2024-10-03 20:40:30+00:00,0.0,Heartbeat
349,2024-10-03 20:40:30.814000+00:00,0.6365568,Conductivity
350,2024-10-03 20:40:31.314000+00:00,0.578688,Conductivity
351,2024-10-03 20:40:33.315000+00:00,0.6365568,Conductivity
352,2024-10-03 20:40:33.815000+00:00,0.578688,Conductivity
353,2024-10-03 20:40:34.815000+00:00,0.6365568,Conductivity
354,2024-10-03 20:40:35.315000+00:00,0.578688,Conductivity
355,2024-10-03 20:40:36.315000+00:00,0.6365568,Conductivity
356,2024-10-03 20:40:36.816000+00:00,0.578688,Conductivity
357,2024-10-03 20:40:40+00:00,0.0,Heartbeat
358,2024-10-03 20:40:50+00:00,0.0,Heartbeat
359,2024-10-03 20:41:00+00:00,0.0,Heartbeat
360,2024-10-03 20:41:10+00:00,0.0,Heartbeat
361,2024-10-03 20:41:11.385000+00:00,8.0,Status
362,2024-10-03 20:41:20+00:00,0.0,Heartbeat
363,2024-10-03 20:41:30+00:00,0.0,Heartbeat
364,2024-10-03 20:41:40+00:00,0.0,Heartbeat
365,2024-10-03 20:41:43.334000+00:00,0.5208192,Conductivity
366,2024-10-03 20:41:43.832000+00:00,0.578688,Conductivity
367,2024-10-03 20:41:45.332000+00:00,0.5208192,Conductivity
368,2024-10-03 20:41:45.833000+00:00,0.578688,Conductivity
369,2024-10-03 20:41:46.833000+00:00,0.5208192,Conductivity
370,2024-10-03 20:41:47.334000+00:00,0.578688,Conductivity
371,2024-10-03 20:41:50+00:00,0.0,Heartbeat
372,2024-10-03 20:41:50.336000+00:00,0.5208192,Conductivity
373,2024-10-03 20:41:50.836000+00:00,0.578688,Conductivity
374,2024-10-03 20:41:54.337000+00:00,0.5208192,Conductivity
375,2024-10-03 20:41:54.835000+00:00,0.578688,Conductivity
376,2024-10-03 20:41:59.336000+00:00,0.5208192,Conductivity
377,2024-10-03 20:41:59.837000+00:00,0.578688,Conductivity
378,2024-10-03 20:42:00+00:00,0.0,Heartbeat
379,2024-10-03 20:42:02.348000+00:00,0.5208192,Conductivity
380,2024-10-03 20:42:02.848000+00:00,0.578688,Conductivity
381,2024-10-03 20:42:03.848000+00:00,0.5208192,Conductivity
382,2024-10-03 20:42:04.349000+00:00,0.578688,Conductivity
383,2024-10-03 20:42:05.349000+00:00,0.5208192,Conductivity
384,2024-10-03 20:42:05.849000+00:00,0.578688,Conductivity
385,2024-10-03 20:42:06.349000+00:00,0.5208192,Conductivity
386,2024-10-03 20:42:06.849000+00:00,0.578688,Conductivity
387,2024-10-03 20:42:10+00:00,0.0,Heartbeat
388,2024-10-03 20:42:10.352000+00:00,0.6365568,Conductivity
389,2024-10-03 20:42:12.352000+00:00,0.6944256,Conductivity
390,2024-10-03 20:42:13.353000+00:00,0.8101632,Conductivity
391,2024-10-03 20:42:14.353000+00:00,0.86803204,Conductivity
392,2024-10-03 20:42:14.852000+00:00,0.9259008,Conductivity
393,2024-10-03 20:42:15.353000+00:00,0.9837696,Conductivity
394,2024-10-03 20:42:15.855000+00:00,1.157376,Conductivity
395,2024-10-03 20:42:16.356000+00:00,1.2152448,Conductivity
396,2024-10-03 20:42:16.856000+00:00,1.2731136,Conductivity
397,2024-10-03 20:42:20+00:00,0.0,Heartbeat
398,2024-10-03 20:42:20.355000+00:00,1.6781952,Conductivity
399,2024-10-03 20:42:20.857000+00:00,3.9929473,Conductivity
400,2024-10-03 20:42:20.900000+00:00,525.0,Stapnr
401,2024-10-03 20:42:21.358000+00:00,4.398029,Conductivity
402,2024-10-03 20:42:21.859000+00:00,4.7452416,Conductivity
403,2024-10-03 20:42:22.360000+00:00,5.32393,Conductivity
404,2024-10-03 20:42:22.864000+00:00,5.7290115,Conductivity
405,2024-10-03 20:42:23.365000+00:00,6.134093,Conductivity
406,2024-10-03 20:42:23.865000+00:00,6.654912,Conductivity
407,2024-10-03 20:42:24.363000+00:00,7.0599937,Conductivity
408,2024-10-03 20:42:24.863000+00:00,7.4650755,Conductivity
409,2024-10-03 20:42:25.864000+00:00,8.333107,Conductivity
410,2024-10-03 20:42:26.864000+00:00,9.085402,Conductivity
411,2024-10-03 20:42:27.364000+00:00,9.374745,Conductivity
412,2024-10-03 20:42:27.864000+00:00,9.779827,Conductivity
413,2024-10-03 20:42:28.364000+00:00,10.12704,Conductivity
414,2024-10-03 20:42:29.366000+00:00,10.763597,Conductivity
415,2024-10-03 20:42:29.867000+00:00,10.995072,Conductivity
416,2024-10-03 20:42:30+00:00,0.0,Heartbeat
417,2024-10-03 20:42:30.367000+00:00,11.284416,Conductivity
418,2024-10-03 20:42:30.868000+00:00,11.57376,Conductivity
419,2024-10-03 20:42:31.368000+00:00,11.805236,Conductivity
420,2024-10-03 20:42:31.868000+00:00,11.978842,Conductivity
421,2024-10-03 20:42:32.372000+00:00,12.268186,Conductivity
422,2024-10-03 20:42:32.872000+00:00,12.4417925,Conductivity
423,2024-10-03 20:42:33.372000+00:00,12.673267,Conductivity
424,2024-10-03 20:42:33.873000+00:00,12.846874,Conductivity
425,2024-10-03 20:42:34.373000+00:00,13.02048,Conductivity
426,2024-10-03 20:42:34.873000+00:00,13.136218,Conductivity
427,2024-10-03 20:42:35.373000+00:00,13.367693,Conductivity
428,2024-10-03 20:42:35.873000+00:00,13.5413,Conductivity
429,2024-10-03 20:42:36.373000+00:00,13.657037,Conductivity
